RSS;TMEAN;TMAX;TMIN;HMDX;TDEW
1;19.8212575;25.86699;14.399015;27.8625563074938;14.3070375158547
2;21.89866;29.15144;16.087835;30.9070218744346;16.0114117407021
3;22.7188775;29.313535;17.19559;32.6776492645237;17.2028167616727
4;23.3132875;29.65103;18.12598;34.1780939233476;18.1518115693776
5;23.2285475;29.628555;18.065125;34.0992333862177;18.0807700634915
6;24.795525;30.691015;19.707215;36.6993578320935;19.6953572925051
7;24.044045;30.91481;18.512155;34.8001804627218;18.5141383585433
8;21.9851025;29.0799;15.86498;30.8092518316458;15.7431770483244
9;17.94867;23.47572;13.335815;25.4814784299177;13.3336378854185
11;20.0903225;25.590325;15.462525;29.2232262332628;15.4537831026929
12;22.5399325;29.120295;17.080025;32.5448646880829;17.0996142092476
13;24.7523875;30.6975;19.707065;36.7073337898479;19.6879353544282
14;24.005895;30.54228;18.69879;35.0194652098696;18.7122634364725
15;23.7095625;30.250625;18.45825;34.5509864764694;18.4632926188847
16;24.5655775;30.708235;19.506575;36.3857667059784;19.4877996063586
