HO;RSS;POPDENSLOG;POP65P;POPSEXF;MSDISOC;MSDIMAT;NDVI;HSUMTEMP
HOS;1;2.18695799113295;18.5068436251226;50.2922272186864;37.3284234673959;63.3691631754753;0.497672528028488;13.7496655865935
MOR;1;2.18695799113295;18.5068436251226;50.2922272186864;37.3284234673959;63.3691631754753;0.497672528028488;13.7496655865935
811;1;2.17461589702539;21.5365759337201;50.1214306568549;35.7453015687303;60.3976636022063;0.497672528028488;13.7603742923821
AMB;1;2.16708004265287;23.8020519645774;50.0034666719532;35.3051235801302;59.2092730771816;0.497672528028488;13.7890654439128
EDV;1;2.16708004265287;23.8020519645774;50.0034666719532;35.3051235801302;59.2092730771816;0.497672528028488;13.7890654439128
HOS;2;0.964567733138281;15.8630664067338;49.7667168715202;40.7415409615703;58.7575119733521;0.473226815462112;14.7507584574135
MOR;2;0.964567733138281;15.8630664067338;49.7667168715202;40.7415409615703;58.7575119733521;0.473226815462112;14.7507584574135
811;2;0.955719010225282;19.0030496042333;49.6166425960915;40.536841134379;54.9669767509969;0.473226815462112;14.9160673531366
AMB;2;0.957172171229843;20.9446773028639;49.4421617458806;40.3160980487941;54.0779513231099;0.473226815462112;14.9794594132504
EDV;2;0.957172171229843;20.9446773028639;49.4421617458806;40.3160980487941;54.0779513231099;0.473226815462112;14.9794594132504
HOS;3;3.56650724772615;16.2982668163488;50.9206614610919;51.3723153297419;36.3289136758652;0.468118339776993;15.9408293879845
MOR;3;3.56650724772615;16.2982668163488;50.9206614610919;51.3723153297419;36.3289136758652;0.468118339776993;15.9408293879845
811;3;3.61367374310686;18.5632083484128;50.6031365839309;50.4686034243457;33.1237051184662;0.468118339776993;16.0868244524972
AMB;3;3.63668267586459;19.9923878892689;50.4162609112461;49.598937424295;32.0387357451095;0.468118339776993;16.1457353640898
EDV;3;3.63668267586459;19.9923878892689;50.4162609112461;49.598937424295;32.0387357451095;0.468118339776993;16.1457353640898
HOS;4;2.36058662127978;17.765735200763;50.2968974913173;46.7960468411462;57.8432399877168;0.493892580270767;16.6620036435365
MOR;4;2.36058662127978;17.765735200763;50.2968974913173;46.7960468411462;57.8432399877168;0.493892580270767;16.6620036435365
811;4;2.38275479811989;20.3777668137958;50.0427418059282;45.9549539169105;57.1001031124117;0.493892580270767;16.8604692229179
AMB;4;2.39597227589001;22.1475362086324;49.8937628993274;45.4595085352643;56.2247790771597;0.493892580270767;16.9280325558215
EDV;4;2.39597227589001;22.1475362086324;49.8937628993274;45.4595085352643;56.2247790771597;0.493892580270767;16.9280325558215
HOS;5;3.53844986911164;16.2745800431031;50.1417526275275;48.7119967737283;51.5984376793093;0.532911896705627;16.5540806166021
MOR;5;3.53844986911164;16.2745800431031;50.1417526275275;48.7119967737283;51.5984376793093;0.532911896705627;16.5540806166021
811;5;3.58376495557534;18.7994698228905;49.9499219073041;47.3168851779505;51.3940425635484;0.532911896705627;16.7788332625013
AMB;5;3.6042649674763;20.6694750858024;49.8143382333327;46.5914128856645;50.4283521025762;0.532911896705627;16.8564961890579
EDV;5;3.6042649674763;20.6694750858024;49.8143382333327;46.5914128856645;50.4283521025762;0.532911896705627;16.8564961890579
HOS;6;8.24106370423913;15.3567574350668;51.1744840154369;61.2999754107515;46.6372779353015;0.358644485473633;18.1121283062829
MOR;6;8.24106370423913;15.3567574350668;51.1744840154369;61.2999754107515;46.6372779353015;0.358644485473633;18.1121283062829
811;6;8.26914898110044;15.7695641982389;50.8077422076424;60.6715462962569;47.6564202962043;0.358644485473633;18.3470082396722
AMB;6;8.28974312411459;16.1766080585741;50.6562762330987;60.5578439302491;47.5375293680738;0.358644485473633;18.4278279524348
EDV;6;8.28974312411459;16.1766080585741;50.6562762330987;60.5578439302491;47.5375293680738;0.358644485473633;18.4278279524348
HOS;7;2.33481630828743;12.0162707533345;50.3743209808153;50.5289399523667;45.6637732809361;0.493763595819473;17.2448948624532
MOR;7;2.33481630828743;12.0162707533345;50.3743209808153;50.5289399523667;45.6637732809361;0.493763595819473;17.2448948624532
811;7;2.40657329990224;13.8965865388745;50.3200544861739;51.6145162224764;45.2928254710103;0.493763595819473;17.5073760143229
AMB;7;2.43154425521286;15.2649514099485;50.2818719284993;51.7299379357895;46.7074829294456;0.493763595819473;17.606889373456
EDV;7;2.43154425521286;15.2649514099485;50.2818719284993;51.7299379357895;46.7074829294456;0.493763595819473;17.606889373456
HOS;8;0.829308644237336;13.7924626650871;49.2744085010319;41.000245961023;63.6279533394124;0.446444004774094;14.2078605129601
MOR;8;0.829308644237336;13.7924626650871;49.2744085010319;41.000245961023;63.6279533394124;0.446444004774094;14.2078605129601
